"","Species","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","NA","TD0","TD1","TD2","TD3","TD4","Fresh","Moist","Wet","SMR_Ind"
"1","ABIEABI",0.0287769784172662,0.0143884892086331,0.0431654676258993,0.0719424460431655,0.0431654676258993,0.00719424460431655,0.0359712230215827,0.0287769784172662,0.0431654676258993,0.0143884892086331,0.0143884892086331,0.00719424460431655,0.0215827338129496,0,0,0,0.62589928057554,0.0287769784172662,0.0719424460431655,0.18705035971223,0.237410071942446,0.302158273381295,0.0719424460431655,0.0287769784172662,0,"TD4"
"2","ABIEAMA",0,0,0.000656598818122127,0.000656598818122127,0.0036112934996717,0.0072225869993434,0.0384110308601445,0.0439921208141825,0.103414313854235,0.199934340118188,0.179579776756402,0.133617859487853,0.134602757715036,0.0141168745896257,0.0151017728168089,0.0538411030860144,0.0712409717662508,0,0,0.00131319763624425,0.0121470781352594,0.0945502298095864,0.482928430728825,0.282337491792515,0.0689428759028234,"F"
"3","ABIEBAL",0,0,0,0,0,0,0.0833333333333333,0.25,0.0833333333333333,0,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0,0,0.25,0,0,0,0,0.333333333333333,0.25,0.166666666666667,0,"X"
"4","ABIEGRA",0,0,0,0.00735294117647059,0.0661764705882353,0.154411764705882,0.215073529411765,0.181985294117647,0.0625,0.126838235294118,0.0422794117647059,0.0183823529411765,0.0606617647058824,0.00183823529411765,0,0.0202205882352941,0.0422794117647059,0,0,0.00735294117647059,0.227941176470588,0.625,0.231617647058824,0.0808823529411765,0.0202205882352941,"X"
"5","ABIELAS",0,0,0.00134845234446828,0.0025130248237818,0.00845847379711922,0.0248237817958934,0.059638369598529,0.0895494943303708,0.128225559301257,0.106466441924609,0.0937787312289304,0.0651547655531719,0.0676677903769537,0.0216978240882623,0.0163653079987741,0.0283174992338339,0.285994483604045,0,0,0.00386147716825008,0.0371437327612626,0.186331596690162,0.328470732454796,0.154520380018388,0.044682807232608,"X"
"11","ACARSCH",0.272727272727273,0.0909090909090909,0,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0.636363636363636,1.27272727272727,1.27272727272727,1.27272727272727,0,0,0,"TD0"
"13","ACERCIR",0,0,0,0,0.0275229357798165,0.174311926605505,0.247706422018349,0.0642201834862385,0.155963302752294,0.128440366972477,0.110091743119266,0.0642201834862385,0.0275229357798165,0,0,0,0,0,0,0,0.201834862385321,0.513761467889908,0.394495412844037,0.0917431192660551,0,"TD4"
"14","ACERGLA",0.00701426233341127,0.00257189618891747,0.00958615852232873,0.0189385083002104,0.0502688800561141,0.0991349076455459,0.131634323123685,0.0946925415010521,0.122983399579144,0.0848725742342764,0.055412672433949,0.0692073883563245,0.0355389291559504,0.0107552022445639,0.00374093991115268,0.00490998363338789,0.198737432779986,0.00701426233341127,0.01660042085574,0.0451250876782792,0.194528875379939,0.420855740004676,0.26326864624737,0.115501519756839,0.00865092354454057,"X"
"15","ACERMAC",0,0,0.00536193029490617,0.0348525469168901,0.0750670241286863,0.032171581769437,0.17426273458445,0.120643431635389,0.0697050938337802,0.18230563002681,0.0723860589812333,0.0241286863270777,0.10455764075067,0,0.0107238605898123,0.0214477211796247,0.0723860589812333,0,0,0.0402144772117962,0.14745308310992,0.442359249329759,0.324396782841823,0.128686327077748,0.032171581769437,"X"
"19","ACHIMIL",0.0388094063476402,0.0141424107876994,0.0503206709422792,0.093734583127775,0.0901167571123171,0.0871567176451242,0.106068080907745,0.085841144548594,0.0493339911198816,0.0304226278572603,0.0292715013977964,0.0228580825522118,0.024173655648742,0.00674231211971715,0.00246669955599408,0.0128268376911692,0.255714520638053,0.0388094063476402,0.0917612234829798,0.235816477553034,0.413089952310475,0.604999177766815,0.109028120374938,0.0537740503206709,0.0152935372471633,"TD3"
"20","ACHLTRI",0,0,0,0,0.00742574257425743,0.0321782178217822,0.160891089108911,0.0420792079207921,0.141089108910891,0.146039603960396,0.101485148514851,0.0618811881188119,0.0495049504950495,0.0099009900990099,0,0.0123762376237624,0.235148514851485,0,0,0,0.0396039603960396,0.242574257425743,0.388613861386139,0.121287128712871,0.0123762376237624,"X"
"22","ACHNNEL",0.0281124497991968,0.00803212851405622,0.0602409638554217,0.253012048192771,0.160642570281124,0.0682730923694779,0.0481927710843374,0.0240963855421687,0.0120481927710843,0.00401606425702811,0,0,0,0,0,0,0.333333333333333,0.0281124497991968,0.0642570281124498,0.377510040160643,0.606425702811245,0.678714859437751,0.0160642570281124,0,0,"TD2"
"23","ACHNOCC",0.023489932885906,0.00671140939597315,0.0604026845637584,0.197986577181208,0.194630872483221,0.174496644295302,0.100671140939597,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.00335570469798658,0,0.00335570469798658,0,0,0.00671140939597315,0.204697986577181,0.023489932885906,0.0536912751677852,0.312080536912752,0.681208053691275,0.791946308724832,0.0167785234899329,0.00335570469798658,0.00671140939597315,"TD2"
"24","ACHNRIC",0.00925925925925926,0.00925925925925926,0.0393518518518519,0.143518518518519,0.164351851851852,0.189814814814815,0.0902777777777778,0.0625,0.00694444444444444,0.0115740740740741,0.00231481481481481,0.00462962962962963,0.00231481481481481,0,0,0,0.263888888888889,0.00925925925925926,0.0277777777777778,0.210648148148148,0.564814814814815,0.717592592592593,0.0208333333333333,0.00694444444444444,0,"TD3"
"26","ACMIDEN",0.181818181818182,0,0.454545454545455,0.272727272727273,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.181818181818182,0.363636363636364,1.09090909090909,1.09090909090909,1.18181818181818,0,0,0,"TD1"
