,Species,SMR_Ind,Exceptions
1066,DIDYRIG,TD2,
1067,DIDYVIN,X,
1068,DIETCAN,X,
1069,DIGIPUR,TD3,
1070,DIGISAN,,
1071,DIGITAL,TD4,
1072,DIPHALP,,
1073,DIPHCOM,TD4,
1074,DIPHSIT,X,
1075,DIPLALB,M,
1076,DIPLMUS,TD0,
1077,DIPLOBU,TD4,
1078,DIPLOPH,X,
1079,DIPLOSC,TD0,
1080,DIPLOTA,TD0,
1081,DIPLSCR,TD1,
1082,DISTCAP,X,
1083,DISTICH,,
1084,DISTICI,,
1085,DISTSPI,X,
1086,DITRFLE,TD1,
1087,DITRHET,X,
1088,DITRICH,,
1089,DITRMON,,
1090,DOUGALA,,
1091,DOUIOVA,F,
1092,DOUIPLI,M,
1093,DRABA,,
1094,DRABALB,TD4,
1095,DRABAUR,,
1096,DRABBOR,,
1097,DRABCAN,X,
