"44","AGRIGRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"45","AGRISTR",NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.1,NA,NA,NA,5
"46","AGROCAP",NA,NA,NA,NA,5,0.1,NA,NA,NA,NA,3,0.5,2,2,NA,1
"47","AGROCRI",2.6,NA,NA,45.1,3.2,1,16.14,NA,NA,NA,6,NA,0.5,NA,NA,NA
"48","AGROEXA",NA,NA,2,NA,NA,NA,0.5,1.5,0.2,0.5,55.01,1.15,9,20.6,68.7,33
"49","AGROFRA",NA,NA,NA,NA,NA,NA,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA
"50","AGROGIG",NA,0.5,NA,NA,5.73,9.9,38.03,17.3,35,6,15.8,68,4.5,NA,20.01,54.1
"51","AGROIDA",NA,NA,NA,2.13,NA,NA,NA,0.1,NA,NA,NA,15.1,NA,NA,NA,NA
"52","AGROMER",NA,NA,NA,25,NA,0.2,NA,0.5,NA,NA,0.3,NA,NA,NA,NA,NA
"53","AGROORE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"54","AGROPYR",0.5,5,16,104.3,91.3,27,20.7,81.7,46.61,103.6,3.603,8.03,9.6,0.1,NA,9.61
"55","AGROSCA",0.5,5.5,24.2,6.33,20.921,14.21,24.34,34.33,20.801,14.3,43.9,5,22.602,9.11,17.001,154.894
"56","AGROSTI",NA,NA,68,28.37,7.9,9.421,17.201,28.81,13.31,28.3,50.6,14.1,90.721,14,43,66.1
"57","AGROSTO",NA,NA,NA,4.93,0.54,35,26.1,20.3,NA,5,15,NA,20,NA,NA,15.7
"58","AGROVAR",NA,NA,NA,NA,5.501,NA,2,1,0.1,NA,NA,0.5,0.1,2,3.1,11.002
"59","AHTISPH",NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
"60","AIRACAR",NA,NA,6.5,0.5,21,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"61","AIRAPRA",NA,NA,15,42,8.1,10.5,19.1,10,NA,NA,NA,NA,0.5,NA,NA,NA
"62","ALECOCH",NA,NA,NA,NA,NA,0.5,0.001,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"63","ALECSAR",NA,NA,NA,NA,1,NA,2,NA,5.1,1,NA,NA,NA,NA,NA,0.6
"64","ALECTOR",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1
"65","ALISTRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,6.5
"66","ALLIACU",0.5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ALLICER",51.1,12.31,68.72,193.88,97.097,82.051,69.075,31.3,17.211,0.85,0.4,1.2,0.5,NA,NA,NA
"68","ALLISCH",NA,NA,NA,2,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"69","ALLIUM",NA,NA,0.5,40,1,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ALLOTRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"71","ALLOVIR",NA,NA,NA,0.001,NA,0.11,0.8,0.5,0.7,0.5,0.3,NA,NA,NA,NA,7
"72","ALNUINC",NA,NA,NA,16.5,7,125.4,740.301,848.9,1119.01,846.4,1606.9,2761.8,3598.11,2029.11,847,5288.7
"73","ALNURUB",NA,NA,1,28,127.1,24.2,524.11,873.9,507.52,1614.201,1377.2,1193.4,6169.8,396.01,488.1,1330.8
"74","ALNUS",NA,NA,NA,NA,NA,10.5,91.2,53,330.101,105.5,98,48.1,346,50.2,155.51,139.1
"75","ALNUVIR",NA,NA,5.1,48,335.74,769.43,3828.98,7399.812,7712.02,5870.58,6610.11,5355.96,7713.27,1787.3,1647.9,1947.34
"76","ALOPAEQ",NA,NA,NA,NA,NA,NA,10,25,NA,NA,15,NA,1,2.2,27,13.3
"77","ALOPCAR",NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"78","ALOPECU",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,15,NA,NA,NA,NA,2
"79","ALOPGEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"80","ALOPPRA",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA
"81","ALYSALY",10.7,1.5,0.6,6.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ALYSDES",0.1,0.6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","AMBLSER",NA,NA,NA,0.5,NA,NA,1.6,4.2,0.7,14.5,3.1,100.7,7.7,3.4,0.5,16.1
"84","AMBLYSE",NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,10,NA
"85","AMBLYST",NA,NA,NA,NA,0.1,0.5,NA,NA,NA,0.1,NA,NA,31,20.1,0.5,58.1
"86","AMBRCHA",NA,NA,NA,NA,NA,NA,4,37.1,NA,NA,0.1,0.1,3,NA,NA,NA
"87","AMELALN",678.2,194.15,700.52,1865.84,2374.652,2147.011,2844.426,2144.252,979.448,573.515,367.793,330.054,152.93,68.95,12.9,43.5
"88","AMELANC",NA,NA,2,NA,NA,0.5,7.6,18,1,2,NA,NA,NA,NA,NA,NA
"89","AMELCUS",NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","AMMANNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"91","AMMOARE",NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA
"92","AMPHNEV",NA,NA,NA,NA,NA,NA,1.2,47,NA,NA,30,NA,NA,NA,9,NA
"93","AMSIINT",NA,0.5,0.3,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","AMSILYC",NA,NA,0.5,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","AMSINCK",1.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","ANACMEN",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","ANAPHAL",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"98","ANAPMAR",0.5,NA,2.5,6.23,16.484,25.1,74.984,87.521,151.902,115.914,76.872,48.801,82.331,18.82,1.9,12.01
"99","ANASTRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"100","ANDRBLY",NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"101","ANDREAE",NA,NA,0.5,NA,NA,2,NA,NA,NA,0.5,NA,NA,NA,NA,NA,1
"102","ANDRMEG",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","ANDROME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA
"104","ANDRPOL",NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,0.5,10,9.601,26.11,11.5,630.245
"105","ANDRRUP",0.5,10,NA,13.5,2.5,25.6,4.5,3,NA,1.1,0.5,NA,0.1,NA,NA,NA
"106","ANDRSEP",2.3,2.2,3,13.07,3.1,6.1,18.9,1,0.5,NA,NA,NA,NA,NA,NA,NA
"107","ANEMCYL",NA,NA,NA,NA,NA,2.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","ANEMDRU",NA,NA,NA,2,0.1,5,0.2,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"109","ANEMLYA",NA,NA,NA,NA,NA,NA,1,NA,0.5,NA,0.2,0.2,0.7,NA,NA,NA
"110","ANEMMUL",3.001,0.3,23.1,40.351,30.79,79.23,52.33,41.4,23.351,29.7,33.6,4.1,11.602,NA,NA,4.5
"111","ANEMNAR",NA,NA,NA,NA,NA,0.001,1,1,10,1,30,NA,NA,NA,NA,NA
"112","ANEMONE",NA,0.2,0.1,0.051,1.58,2.81,0.2,2.2,4.3,2.681,0.52,2,5.7,1.2,NA,NA
"113","ANEMPAR",NA,NA,NA,0.1,2.5,3.1,10.8,28.801,16.61,9.97,4.211,48.4,3.001,0.1,0.1,12.7
"114","ANEORIC",NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,2.6,10.75,3.3,9,24.7
"115","ANEUPIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"116","ANGEARG",NA,NA,NA,NA,NA,0.005,6.01,8.8,12.46,0.8,20.61,30,31.4,19.6,15,42.11
"117","ANGEDAW",NA,NA,NA,NA,NA,NA,NA,6.5,1.3,1,0.3,0.5,7.7,20,0.5,NA
"118","ANGEGEN",NA,NA,NA,NA,NA,NA,2.9,4,31.4,33.23,25.3,37.3,146.253,40.89,24.201,137.393
"119","ANGELIC",NA,NA,NA,NA,NA,0.1,0.3,2.6,2.11,2,2.7,9.5,7,6.301,1.3,16.6
"120","ANGELUC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,10,65.7,NA,16,56.8
"121","ANISMAD",NA,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA
"122","ANOMFIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"123","ANTEANA",0.7,NA,NA,5.8,9.8,9.1,4.2,NA,NA,NA,NA,3,NA,NA,NA,NA
"124","ANTEDIM",111.13,32.2,76.9,145.4,15.5,46.3,12.5,0.5,2,NA,NA,NA,NA,NA,1.7,NA
"125","ANTEHOW",NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","ANTELAN",0.5,1,1,NA,2,2.8,9.3,5.502,7.5,9.501,15.5,NA,0.6,NA,1,0.2
"127","ANTELUZ",0.5,NA,NA,3.2,15.03,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA
"128","ANTEMIC",118.104,42.63,122.24,297.37,105.47,177.042,94.554,57.5,13.3,31.36,18.59,27,12.1,NA,NA,8
"129","ANTEMON",NA,NA,NA,NA,NA,NA,NA,NA,0.01,2.5,NA,NA,NA,NA,NA,NA
"130","ANTENEG",9.2,1.5,28.64,67.603,139.543,159.383,145.906,65.571,32.77,9.4,34.61,0.1,0.7,2,NA,1.6
"131","ANTENNA",8.2,2.11,4.332,178.371,90.302,133.95,64.466,6.77,4.9,1.41,9.102,0.101,21.6,2.1,NA,0.5
"132","ANTEPAR",6.4,12.1,19.2,73.081,57.22,16.47,10.63,7.94,2,1.3,NA,1,1,NA,NA,NA
"133","ANTEPUL",2.7,1,30.102,27.9,9.6,20.8,24,7.9,1.61,32.4,6,18.33,22.81,0.6,NA,5.64
"134","ANTERAC",9.2,3.7,46.72,166.6,172.254,419.624,373.984,171.971,77.69,18.81,6.55,2.01,1.5,0.5,NA,NA
"135","ANTEROS",0.3,0.2,2.4,6.5,5.5,15.5,4,1.4,NA,NA,NA,NA,NA,NA,NA,NA
"136","ANTEUMB",84.5,49.3,276,431.81,118.7,299.592,62.56,25.851,2.73,3.21,1.3,2.7,5,0.5,2.7,0.11
"137","ANTHHIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"138","ANTHJUR",NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA
"139","ANTHMON",NA,NA,NA,0.1,1.5,1.81,8.641,3.661,14.812,4.3,0.87,0.1,2,NA,NA,NA
"140","ANTHODO",NA,NA,62,70,122,112,109,NA,NA,0.51,1,NA,2,NA,NA,NA
"141","ANTICAL",9,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","ANTICUR",NA,NA,NA,NA,0.1,0.5,NA,NA,4.3,3,4,1.25,29.75,NA,NA,NA
"143","ANTIELE",2.011,0.301,1.011,6.301,21.91,33.172,21.11,27.654,10.641,10.202,2,4.6,0.5,8.2,NA,4.07
