"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"108","411179",0,0,0,0,0,0,1,13.5,0,0,198.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS dk   /01"
"109","411279",0,0,0,29.5,2,30.5,31,0,0,0,34,0,"SBSdk","SBS dk","SBS ","1",2,3,"2VD","SBS dk   /Gg"
"110","411479",1,0,0,0,0,2.5,68,1.5,0,0,39.5,0.5,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /$2 Dandelion - Bluegrass"
"111","411779",0,0,0,0,0,0,8.5,65.5,0,0,270.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"4SD","SBS dk   /01-06 $5B At - Peavine"
"112","411979",0,0,1,0,0,0,6,54,0,0,297.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS dk   /01"
"113","412179",0,0,3.6,0,0,0,38.4,48,0,0,140.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"3MD","SBS dk   /01-06 $5B At - Peavine"
"114","412279",0.5,0,1.5,0,0.5,2.5,5.5,22,0,0,115.5,0.5,NA,NA,NA,NA,NA,NA,"4SD","SBS dk   /$2 Dandelion - Bluegrass"
"115","412679",0,0,0,0,0,0,9,16.5,0,0,212.5,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"4SD","SBS dk   /01"
"116","412779",0,0,11,0,0,0,4,22.5,0,0,270.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"6M","SBS dk   /06"
"117","412879",0,0,0,0,0,0,8.5,49,0,0,239.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS dk   /01-05 $5 Pl(Sx) - Alder - Feathermoss (young climax)"
"118","413079",0,0,0.5,0,0,0.5,5.5,23,0,0,228,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"4SD","SBS dk   /05"
"119","413179",0,0,0,0,0,50.5,51,15,0,0,58,0,"SBSdk","SBS dk","SBS ","1",2,3,"3MD","SBS dk   /02"
"120","413279",0,0,0.5,0,0,0.5,5,20,0,0,254.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS dk   /06"
"121","413479",0,0,0.5,0,0,0,17,49.5,0,0,238,0,"SBSdk","SBS dk","SBS ","4",4,4,"4SD","SBS dk   /01"
"122","413579",0,0,2.5,0,0,0.5,5,39.5,0,0,159,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS dk   /01"
"123","413879",0,0,2,0,0,0,6.5,9.5,0,0,227,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"5F","SBS dk   /05"
"124","414379",0,0,0,0,0,0.5,5.5,2.5,0,0,231,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS dk   /01-05 $5 Pl(Sx) - Alder - Feathermoss (young climax)"
"125","414679",0,0,0,0,0,4,2.5,28.5,0,0,162,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"4SD","SBS dk   /05"
"126","414779",0,1,0,0,0,0,2,4,0,0,94,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS dk   /01"
"127","414879",0,1,77.5,0,0,0,0.5,1,0.5,6,215,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS dk   /07"
"128","414979",0,1,3,0,0,0,2.5,19.5,0,0,206.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS dk   /06"
"129","415779",0,0,18.2,0,0,0,0,21.6,0,0,293,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS dk   /06-07 $5C Act(At) - Lathnev"
"130","416079",0,0,7.5,0,0,0,0,0,88,123,123.5,0,"SBSdk","SBS dk","SBS ","7",8,8,"9VW","SBS dk   /Wb08"
"131","416579",0,0,0,0,0,0.5,9.5,9.5,0,0,224.5,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"5F","SBS dk   /05"
"132","416679",0,0,0.5,0,0,0,8.5,1.5,0,0,210.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"5F","SBS dk   /01-05 $5 Pl(Sx) - Alder - Feathermoss (young climax)"
"133","418479",0,0,0,0,0,2,21,30.5,0,0,84,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"3MD","SBS dk   /04"
"134","418579",0,0,51.5,0,0,0,2,3,0,0,279,7.5,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS dk   /07"
"135","418779",0,0,0.5,0,0,0,4,37,0,0,235,0,"SBSdk","SBS dk","SBS ","4",4,4,"4SD","SBS dk   /01"
