PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit,,,,
LPdk111,,,,,,,,,,,IDF dk 1 /103,,,,
LPdk112,,,,,,,,,,,IDF dk 1 /103,,,,
LPdk116,,,,,,,,,,,IDF dk 1 /103,,,,
LPdk20b,,,,,,,,,,,IDF dk 1 /103,,,,
780435,,,,,,,,,,,IDF dk 1 /104,,,,
770123,,,,,,,,,,,IDF dk 1 /104,,,,
770128,,,,,,,,,,,IDF dk 1 /104,,,,
780354,,,,,,,,,,,IDF dk 1 /104,,,,
780368,,,,,,,,,,,IDF dk 1 /104,,,,
780369,,,,,,,,,,,IDF dk 1 /104,,,,
780371,,,,,,,,,,,IDF dk 1 /104,,,,
780406,,,,,,,,,,,IDF dk 1 /104,,,,
780413,,,,,,,,,,,IDF dk 1 /104,,,,
780451,,,,,,,,,,,IDF dk 1 /104,,,,
780470,,,,,,,,,,,IDF dk 1 /104,,,,
811014,,,,,,,,,,,IDF dk 1 /104,,,,
94-587,,,,,,,,,,,IDF dk 1 /104,,,,
94-588,,,,,,,,,,,IDF dk 1 /104,,,,
94-591,,,,,,,,,,,IDF dk 1 /104,,,,
97PH501,,,,,,,,,,,IDF dk 1 /104,,,,
98-059,,,,,,,,,,,IDF dk 1 /104,,,,
98-117,,,,,,,,,,,IDF dk 1 /104,,,,
99DL020,,,,,,,,,,,IDF dk 1 /104,,,,
99DM002,,,,,,,,,,,IDF dk 1 /104,,,,
99NB010,,,,,,,,,,,IDF dk 1 /104,,,,
K00-427,,,,,,,,,,,IDF dk 1 /104,,,,
K00-820,,,,,,,,,,,IDF dk 1 /104,,,,
K01-467,,,,,,,,,,,IDF dk 1 /104,,,,
K99-084,,,,,,,,,,,IDF dk 1 /104,,,,
K99-320,,,,,,,,,,,IDF dk 1 /104,,,,
K99-378,,,,,,,,,,,IDF dk 1 /104,,,,
K99-423,,,,,,,,,,,IDF dk 1 /104,,,,
K99-596,,,,,,,,,,,IDF dk 1 /104,,,,
K99-597,,,,,,,,,,,IDF dk 1 /104,,,,
K99-606,,,,,,,,,,,IDF dk 1 /104,,,,
LPdk114,,,,,,,,,,,IDF dk 1 /104,,,,
RC6064,,,,,,,,,,,IDF dk 1 /104,,,,
TFC021,,,,,,,,,,,IDF dk 1 /104,,,,
TSB175,,,,,,,,,,,IDF dk 1 /104,,,,
01VL01,,,,,,,,,,,IDF dk 1 /105,,,,
780306,,,,,,,,,,,IDF dk 1 /105,,,,
780347,,,,,,,,,,,IDF dk 1 /105,,,,
780407,,,,,,,,,,,IDF dk 1 /105,,,,
780412,,,,,,,,,,,IDF dk 1 /105,,,,
851925,,,,,,,,,,,IDF dk 1 /105,,,,
851940,,,,,,,,,,,IDF dk 1 /105,,,,
9523311,,,,,,,,,,,IDF dk 1 /105,,,,
97805,,,,,,,,,,,IDF dk 1 /105,,,,
99DL021,,,,,,,,,,,IDF dk 1 /105,,,,
99MR001,,,,,,,,,,,IDF dk 1 /105,,,,
99VL001,,,,,,,,,,,IDF dk 1 /105,,,,
K00-461,,,,,,,,,,,IDF dk 1 /105,,,,
K99-079,,,,,,,,,,,IDF dk 1 /105,,,,
RC6528,,,,,,,,,,,IDF dk 1 /105,,,,
851926,,,,,,,,,,,IDF dk 1 /111,,,,
770047,,,,,,,,,,,IDF dk 1 /111,,,,
770100,,,,,,,,,,,IDF dk 1 /111,,,,
770238,,,,,,,,,,,IDF dk 1 /111,,,,
780458,,,,,,,,,,,IDF dk 1 /111,,,,
97420,,,,,,,,,,,IDF dk 1 /111,,,,
98-058,,,,,,,,,,,IDF dk 1 /111,,,,
98-120,,,,,,,,,,,IDF dk 1 /111,,,,
99RV19,,,,,,,,,,,IDF dk 1 /111,,,,
99RV28,,,,,,,,,,,IDF dk 1 /111,,,,
99RV42,,,,,,,,,,,IDF dk 1 /111,,,,
K99-082,,,,,,,,,,,IDF dk 1 /111,,,,
K99-145,,,,,,,,,,,IDF dk 1 /111,,,,
K99-383,,,,,,,,,,,IDF dk 1 /111,,,,
K99-602,,,,,,,,,,,IDF dk 1 /111,,,,
9628684,,,,,,,,,,,IDF dk 1 /112,,,,
770126,,,,,,,,,,,IDF dk 1 /112,,,,
770129,,,,,,,,,,,IDF dk 1 /112,,,,
821254,,,,,,,,,,,IDF dk 1 /112,,,,
97PH502,,,,,,,,,,,IDF dk 1 /112,,,,
K00-426,,,,,,,,,,,IDF dk 1 /112,,,,
K00-464,,,,,,,,,,,IDF dk 1 /112,,,,
LPdk127,,,,,,,,,,,IDF dk 1 /112,,,,
