"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"60","11-5079",0,0,0,0,1,9.8,42.6,3.7,0,0.5,29.4,0.01,"ICHxw","ICH xw","ICH ","2",2.5,2,"3MD","ICH xw   /103"
"61","12-9019",0,0,0,0.1,33.9,11.6,8,3.5,0,0,25,0,"ICHxw","ICH xw","ICH ","1",1.5,2,"2VD","ICH xw   /102"
"62","14-7608",0,0,0,0,3,17.3,66.2,10.5,0,0,0.6,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"3MD","ICH xw  a /Gb06"
"63","14-7611",0,0,0,0,1,18.6,67.9,3.3,0,0,0.5,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"3MD","ICH xw  a /Gb06"
"64","14-7612",0,0,0,0,0.1,21,15.5,0.8,0,0,1.7,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"2VD","ICH xw  a /Gb06"
"65","385278",0,0.1,1,0,4.1,16,89.5,2,0,0,162,1,NA,NA,NA,NA,NA,NA,"3MD","ICH xw   /01"
"66","385478",0,0.5,2,0,15,5.5,55.5,11.5,0,3,100.5,0.5,NA,NA,NA,NA,NA,NA,"3MD","ICH xw   /01"
"67","387678",0,0,0,0,0,0,11,7.5,0,0,114.5,0,NA,NA,NA,NA,NA,NA,"3MD","ICH xw   /01"
"68","387778",0,0,1,0,0,0,5.1,14,0,0,335.4,0,NA,NA,NA,NA,NA,NA,"4SD","ICH xw   /01"
"69","387878",0,0,0,0,1,1.1,11.6,27,0,0,176.5,0,NA,NA,NA,NA,NA,NA,"3MD","ICH xw   /01"
"70","388078",0,1,1,0,0.5,1,3.5,4.5,0,0,53.5,0.5,NA,NA,NA,NA,NA,NA,"4SD","ICH xw   /01"
"71","4-A-17",0,0,0,0,0,2.15,7.8,4.54,0,0,26.4,0,"ICHxw","ICH xw","ICH ","3",3,3,"4SD","ICH xw   /101$"
"72","4-A-5",0,0,0,0,0,0,0.4,6.61,0,0,79.333,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101$"
"73","4-A-6",0,0,0,0,0,0,1.25,0.45,0,0,12.81,0,"ICHxw","ICH xw","ICH ","3",3,3,"5F","ICH xw   /101$"
"74","694-A",0,0,0,0,0,0,11,38,0,0,83,0,"ICHxwa","ICH xw  a","ICH ","4",NA,NA,"4SD","ICH xw   /104"
"75","694-B",0,0,0,0,0,4,22,25,0,0,50,0,"ICHxwa","ICH xw  a","ICH ","4",NA,NA,"3MD","ICH xw   /104"
"76","695-A",0,0,0,0,0,0,70,7,0,0,67,0,"ICHxwa","ICH xw  a","ICH ","4",NA,NA,"3MD","ICH xw   /104"
"77","695-C",0,0,0,0,0,0,84,4,0,0,45.3,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw   /104"
"78","870-C",0,0,0,0,20,15,29,1,0,0,13,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"2VD","ICH xw   /104"
"79","88-B",0,0,0,0,0,28,24,0,0,0,44,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"2VD","ICH xw   /104"
"80","933-A",0,0,0,0,5,1,1,0,0,0,11,0,"ICHxwa","ICH xw  a","ICH ","1",NA,NA,"4SD","ICH xw  a /xRt06"
"81","933-C",0,0,0,0,35,5,8.1,0,0,0,0,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"1ED","ICH xw  a /xRt04"
"82","952-A",0,0,0,0,6,13,52.1,0,0,0,7,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"3MD","ICH xw   /103"
"83","9523304",0,0,0,0,16,29,28,1,0,0,5,0,"ICHxw","ICH xw","ICH ","2",2.5,2,"2VD","ICH xw   /Gb03"
