"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"3797","K01-380",1,0,0,0,0,1.5,1,10,0,0,64,0,"ESSFxc3","ESSFxc 3","ESSF","4",NA,NA,"4SD","ESSFxc 3 /101"
"3798","K01-385",0,58.5,2,0,0,0,0,16.1,0,1,22.5,0,"ESSFmw2","ESSFmw 2","ESSF","4",5,5,"5F","ESSFmw 2 /101.2"
"3799","K01-386",0,22,0,0,0,0,1.5,4.5,0,0,85.5,0,"ESSFmw2","ESSFmw 2","ESSF","3",4,4,"5F","ESSFmw 2 /101.2"
"3800","K01-396",0,1.5,0.5,0,0,0.5,0.1,2,0,0,97,0,"ICHmw2","ICH mw 2","ICH ","3",4.5,4,"5F","ICH mw 3 /101"
"3801","K01-417",1.5,5,0,0,0,0.1,0.6,65.5,0,0,58.1,0,"ESSFxc1","ESSFxc 1","ESSF","4",4.5,4,"4SD","ESSFxc 1 /101"
"3802","K01-429",0,61,21,0,0,1,3.5,1.5,0,0,107.5,0,"ESSFwc4","ESSFwc 4","ESSF","4",5.5,6,"6M","ESSFwc 4 /101"
"3803","K01-430",0,0,96.5,0,0,0,0,0.5,0,0,69,0,"ESSFwh1","ESSFwh 1","ESSF","4",5.5,6,"6M","ICH vk 1 /01"
"3804","K01-471",0,0,0,0,0.5,3.5,40.5,5.5,0,0,54,0,"IDFdk2","IDF dk 2","IDF ","4",3.5,3,"3MD","IDF dk 2 /101"
"3805","K01-475",0,0,0,0,0,9.5,38,38.5,0,0,63,0,"IDFdk2","IDF dk 2","IDF ","3",3,2,"3MD","IDF dk 2 /101"
"3806","K01-486",0,0.5,5.5,0,0,0,0,2.5,0,10,184,0,"ICHwk1","ICH wk 1","ICH ","4",5.5,5,"6M","ICH wk 1 /101"
"3807","K01-511",0,1,0,0,0,0,4.5,0.5,0,0,88,0,"ICHmw2","ICH mw 2","ICH ","4",5,5,"4SD","ICH mw 3 /101"
"3808","K01-515",0,4.5,2.6,0,0,0,0,3.5,0,0,123,0,NA,NA,NA,NA,NA,NA,"4SD","ICH mw 2k/101"
"3809","K01-518",0,20.6,0,0,0,0,0,2,0,0,181,0,NA,NA,NA,NA,NA,NA,"5F","ESSFwc 1 /101"
"3810","K01-519",1.5,56,3.5,0,0,0,0,13.5,0,0,142.5,0,"ESSFwc4","ESSFwc 4","ESSF","4",5.5,6,"5F","ESSFwc 1 /101"
"3811","K01-520",0,10,2,0,0,0,5.5,13.5,0,0,129.1,0,"ICHmw2","ICH mw 2","ICH ","3",4.5,4,"5F","ICH mk 1 /01"
"3812","K01-544",2.1,7,0.2,0,0,0,0.1,7.6,0,0,91.3,0,"ESSFwcw","ESSFwcw","ESSF","4",NA,NA,"4SD","ESSFwcw  /101"
"3813","K01-562",0,19.5,16.1,0,0,0,0,60,0,0,58.1,0,"ESSFwc4","ESSFwc 4","ESSF","4",5.5,6,"6M","ESSFwc 4 /101"
"3814","K01-605",0,47,38,0,0,0,0.1,15,0,0,105,0,NA,NA,NA,NA,NA,NA,"6M","ESSFwc 4 /101"
"3815","K01-626",0,16,55.5,0,0,0,0.5,21,0,0,111.5,0,"ESSFwc2","ESSFwc 2","ESSF","3",5,5,"6M","ESSFwc 2 /01"
"3816","K01-631",0,9,119.1,0,0,0,0,1.5,0,25,73,0,"ICHwk1","ICH wk 1","ICH ","5",6.5,6,"8W","ICH vk 1 /01"
"3817","K01-636",0,1,0.5,0,0,0,0,7.5,0,0,160.1,0,NA,NA,NA,NA,NA,NA,"4SD","ICH mw 3 /101"
"3818","K01-658",1.5,25,21.5,0,0,0,0,17,0,0,109,0,"ESSFwc2","ESSFwc 2","ESSF","4",5.5,6,"6M","ESSFwc 2 /01"
"3819","K01-708",3,13,86,0,0,0,0,0.5,0,0.5,47.5,0,"ICHvk1","ICH vk 1","ICH ","4",6,6,"6M","ICH vk 1 /01"
"3820","K01-730",0,8,5.5,0,0,0,0.5,5.5,0,2,205,0,"ICHwk1","ICH wk 1","ICH ","4",5.5,5,"5F","ICH wk 1 /101"
"3821","K01-736",3.5,21.5,11,0,0,0,0,3.5,0,0,82,0,"ESSFwc2","ESSFwc 2","ESSF","3",5,5,"6M","ESSFwc 2 /01"
"3822","K01-743",0,41.5,22.5,0,0,0,0,10,0,0,104.5,0,"ESSFwc2","ESSFwc 2","ESSF","3",5,5,"6M","ESSFwc 2 /01"
"3823","K01-768",0,52,0.5,0,0,0,0,8.5,0,0,54,0,"ESSFmw2","ESSFmw 2","ESSF","4",5,5,"5F","ESSFmw 2 /101.2"
"3824","K01-775",0,2.5,0,0,0,0,3,10.5,0,0,121.5,0,"ESSFdv1","ESSFdv 1","ESSF","3",4,4,"4SD","ESSFdv 1 /101"
"3825","K01-796",0,0,0,0,0,1,45,0,0,0,82,0,NA,NA,NA,NA,NA,NA,"3MD","IDF xc /101"
"3826","K01-799",0,0,0,0,0,34,19.5,1,0,0,39,0,NA,NA,NA,NA,NA,NA,"2VD","IDF xh 2 /101"
"3827","K01-823",0,0,0,0,2,2,9.5,18.5,0,0,75.1,0,NA,NA,NA,NA,NA,NA,"3MD","IDF dc /101.1"
"3828","K01-825",0,0,0,0,0,0,18,3,0,0,113,0,"IDFxh2","IDF xh 2","IDF ","3",2,2,"3MD","IDF xh 2 /101"
"3829","K01-837",0,0,0,0,0,0,22.1,41,0,0,53,0,"ICHmw5","ICH mw 5","ICH ","3",NA,NA,"3MD","ICH mk 1 /01"
"3830","K01-848",0,0,6.5,0,0,0,1,1.5,0,0,89.5,0,"ESSFmh","ESSFmh","ESSF","3",NA,NA,"5F","ICH mk 1 /01"
"3831","K01-850",0,0,0,0,0,0,4,20,0,0,122,0,"ICHmk1","ICH mk 1","ICH ","3",3.5,4,"4SD","ICH mk 1 /01"
"3832","K01-861",1.5,24,11,0,0,0,0.5,8,0,0,37,0,"ESSFwcw","ESSFwcw","ESSF","4",NA,NA,"6M","ESSFwcw  /101"
"3833","K01-869",1,0,0,0,0,0,0.5,8.5,0,0,96.4,0,NA,NA,NA,NA,NA,NA,"4SD","MS  dc 1 /101"
"3834","K01-873",0.5,0,0,0,0,0,0,0.6,0,0,96.4,0,"MSdc1","MS  dc 1","MS  ","3",3.5,3,"5F","MS  dc 1 /101"
"3835","K01-934",0,0.1,0.5,0,0,0,0.1,6.8,0,0,99.9,0,"ESSFdv1","ESSFdv 1","ESSF","3",4,4,"4SD","ESSFdv 1 /101"
"3836","K01-937",0,0.5,0.5,0,0,0,0,9.1,0,0,131.5,0,"ESSFdv1","ESSFdv 1","ESSF","3",4,4,"4SD","ESSFdv 1 /101"
"3837","K01-953",0,84.5,0,0,0,0,0,20.5,0,0,164,0,"ESSFmw2","ESSFmw 2","ESSF","4",5,5,"4SD","ESSFmw 2 /101.1"
"3838","K01-968",1.6,3,0.5,0,0,0,2.6,18.5,0,0,58.8,0,"ESSFxc3","ESSFxc 3","ESSF","4",NA,NA,"4SD","ESSFxc 3 /101"
"3839","K01-994",0,35.2,26.5,0,0,0,0,20,0,0.5,102.5,0,"ESSFwc2","ESSFwc 2","ESSF","4",5.5,6,"6M","ESSFwc 2 /01"
"3840","K011000",1,9,7,0,0,0,0.5,7.5,0,5,146.5,0,"ESSFwc2","ESSFwc 2","ESSF","4",5.5,6,"6M","ESSFwc 2 /01"
"3841","K011044",0,0,0,0,1,0,54.6,6.1,0,0,84.1,0,"IDFww1","IDF ww 1","IDF ","4",NA,NA,"3MD","IDF ww   /101"
"3842","K011046",0.5,0,0.5,0,0,0,15.1,8.5,0,0,82.3,0,"IDFdc","IDF dc","IDF ","3",NA,NA,"3MD","IDF dc /101.1"
"3843","K011047",0,0,0,0,0,0,7.7,26.7,0,0,93.7,0,"IDFdc","IDF dc","IDF ","4",NA,NA,"4SD","IDF dc /101.1"
"3844","K011048",0,0,0,0,2.5,0.5,54.5,1,0,0,56.5,0,"IDFxc","IDF xc","IDF ","3",NA,NA,"3MD","IDF xc /101"
"3845","K011055",0,0,0,0,0,0,34.6,2.1,0,0,74.2,0,"IDFxc","IDF xc","IDF ","3",NA,NA,"3MD","IDF xc /101"
"3846","K011058",0,0,0,0,0,0,16,0.6,0,0,82.1,0,"IDFxc","IDF xc","IDF ","4",NA,NA,"3MD","IDF xc /101"
"3847","K011060",0,0,0,0,0,0.5,16.6,22.2,0,0,79.2,0,"IDFdc","IDF dc","IDF ","3",NA,NA,"3MD","IDF dc /101.2"
"3848","K011068",0,0,0,0,0,1,2.1,4.6,0,0,67.8,0,"IDFxc","IDF xc","IDF ","3",NA,NA,"4SD","IDF xc /101"
"3849","K011069",0,0,0,0,0,0,2.5,3.5,0,0,79.5,0,"IDFxc","IDF xc","IDF ","3",NA,NA,"4SD","IDF xc /101"
"3850","K011077",0,17,1.1,0,0,0,1,6,0,0,109.6,0,NA,NA,NA,NA,NA,NA,"5F","MS  mw 2 /101"
"3851","K011160",0,0,0,0,0,4,2,29.6,0,0,61.6,0,"ICHmw5","ICH mw 5","ICH ","3",NA,NA,"4SD","ICH mk 1 /01"
"3852","K011166",0,21,12.5,0,0,0,0,15.5,0,0,153,0,"ESSFdc1","ESSFdc 1","ESSF","4",5,5,"6M","ESSFdc 1 /101"
"3853","K011198",0,10,5,0,0,0,2.5,15,0,0,143.5,0,"ESSFmh","ESSFmh","ESSF","4",NA,NA,"5F","MS  dm 1 /101"
"3854","K011201",0,0,0,0,0,5,36,37.5,0,0,67.6,0,"MSxk3","MS  xk 3","MS  ","4",NA,NA,"3MD","MS  xk 3 /101"
"3855","K011226",0,0,0,0,0,0,0,1,0,0,189,0,"ICHmw3","ICH mw 3","ICH ","4",5,5,"5F","ICH mw 3 /101"
"3856","K011250",9.5,27.5,2,0,0,0,0,20.5,0,0,82.1,0,"ESSFwcw","ESSFwcw","ESSF","3",NA,NA,"5F","ESSFwcw  /101"
"3857","K011265",0.5,36.6,55,0,0,0,0,0.5,0,0,114.5,0,NA,NA,NA,NA,NA,NA,"6M","ESSFwc 2 /01"
"3858","K011284",0,64,22,0,0,0,0,6,0,0,147.5,0,"ICHwk1","ICH wk 1","ICH ","4",5.5,5,"6M","ESSFwc 2 /01"
"3859","K011299",0,10,1.5,0,0,0,1.5,12.5,0,0,138,0,"ICHmk1","ICH mk 1","ICH ","4",4,4,"4SD","ICH mk 1 /01"
"3860","K011328",0,0.5,12,0,0,0.5,0,4.5,0,6,124,0,"ICHwk1","ICH wk 1","ICH ","4",5.5,5,"6M","ICH wk 1 /101"
"3861","K011345",0,0.5,5.1,0,0,0,1.5,69.5,0,0,174.5,0,NA,NA,NA,NA,NA,NA,"4SD","ICH mk 1 /01"
"3862","K011371",0,0.5,2,0,0,0,2.5,40.5,0,0,126.5,0,"ICHmw5","ICH mw 5","ICH ","4",NA,NA,"4SD","ICH mw 5 /101"
"3863","K011454",0,23,1,0,0,0,2,45.5,0,0,150,0,"ESSFmh","ESSFmh","ESSF","4",NA,NA,"4SD","ESSFdw   /101"
"3864","K02-011",0,0,0,0,2.5,0,19,14.5,0,0,75.5,0,NA,NA,NA,NA,NA,NA,"3MD","IDF ww   /101"
"3865","K02-012",0,0,0,0,1,0,4.5,6.5,0,1,119,0,"IDFww1","IDF ww 1","IDF ","4",NA,NA,"4SD","IDF ww   /101"
"3866","K02-013",0,0,0,0.1,2.2,6.5,36.5,3.5,0,0,40.5,0,"PPxh2","PP  xh 2","PP  ","4",2,2,"3MD","IDF xh 2 /101"
"3867","K02-015",0,0,0,2,24.5,34.5,16.5,0,0,0,1.5,0,"PPxh2","PP  xh 2","PP  ","4",2,2,"2VD","PP  xw /101"
"3868","K02-016",0,0,0,0,1,8,33.5,4.5,0,0,82.5,0.5,NA,NA,NA,NA,NA,NA,"3MD","IDF xh 2 /101"
"3869","K02-022",0,0,0.5,0,4,0,35.5,4,0,0,126.5,0,"IDFww","IDF ww","IDF ","4",3.5,4,"3MD","IDF ww   /101"
"3870","K02-037",0,4,120,0,0,0,0,0.5,0,0,98.5,0,"ICHvk1","ICH vk 1","ICH ","3",5.5,5,"6M","ICH vk 1 /01"
"3871","K02-038",8,1.6,115.5,0,0,0,0,0,0,0,78.6,0,NA,NA,NA,NA,NA,NA,"6M","ICH vk 1 /01"
"3872","K02-052",0,14,11,0,0,0,0,5,0,0,76.5,0,"ESSFvc","ESSFvc","ESSF","3",5,5,"6M","ESSFvc   /01"
"3873","K02-081",14.5,5.5,3,0,0,0,3.5,10,0,0,90.5,0,"ESSFvcw","ESSFvcw","ESSF","4",NA,NA,"4SD","ESSF vcw  /01"
"3874","K02-116",4,1,101,0,0,0,0,0,0,10,36,1,"ICHvk1","ICH vk 1","ICH ","5",6.5,6,"6M","ICH vk 1 /01"
"3875","K02-118",3,0,156,0,0,0,0,0,0,0,29.5,0,"ICHvk1","ICH vk 1","ICH ","4",6,6,"6M","ICH vk 1 /01"
"3876","K02-134",0,4,4,0,0,0,1,6,0,0,155.5,0,"ICHdw4","ICH dw 4","ICH ","4",NA,NA,"4SD","ICH mw 2k/101"
"3877","K02-135",0,0,2.2,0,0,0,1,9,0,0,169.2,0,NA,NA,NA,NA,NA,NA,"4SD","ICH mw 2k/101"
"3878","K02-142",0.5,0,5.1,0,0,0,0.5,4,0,0,196.6,0,"ICHmk1","ICH mk 1","ICH ","4",4,4,"4SD","ICH mk 1 /01"
"3879","K02-163",0,18,2.5,0,0,0,0,0.5,0,0,129.7,0,"ESSFdc3","ESSFdc 3","ESSF","4",NA,NA,"5F","ESSFdc 3 /101"
"3880","K02-166",0,15,2,0,0,0,0.6,8,0,0,176.6,0,NA,NA,NA,NA,NA,NA,"5F","ESSFdc 3 /101"
"3881","K02-167",0,0.5,0,0,0,0,0,2,0,0,179,0,NA,NA,NA,NA,NA,NA,"5F","MS  dm 3 /101.1"
"3882","K02-171",0,5,1.5,0,0,0,3,19,0,0.5,171.2,0,"MSdm3","MS  dm 3","MS  ","4",NA,NA,"4SD","MS  dm 3 /101.1"
"3883","K02-177",19.5,11,0,0,0,0,0.1,15,0,0,48.5,0,"ESSFwcw","ESSFwcw","ESSF","4",NA,NA,"4SD","ESSFwcw  /101"
"3884","K02-186",16.5,24,0.5,0,0,0,0,10,0,0,99.6,0,"ESSFvcw","ESSFvcw","ESSF","4",NA,NA,"5F","ESSF vcw  /01"
"3885","K02-208",0,0,0.5,0,0,0,2.5,4.1,0,0,134.1,0,NA,NA,NA,NA,NA,NA,"4SD","ICH mw 2k/101"
"3886","K02-210",0,0,105.5,0,0,0,0,0.5,0,0.5,80,0,"ICHvk1","ICH vk 1","ICH ","4",6,6,"6M","ICH vk 1 /01"
"3887","K02-213",0,34.5,1,0,0,0,0,18.5,0,0,163.5,0,NA,NA,NA,NA,NA,NA,"4SD","ESSFdc 1 /101"
"3888","K02-216",0.5,56,13,0,0,0,0,26,0,0,103,0,"ESSFwh1","ESSFwh 1","ESSF","4",5.5,6,"6M","ESSFwc 4 /101"
"3889","K02-218",0,13,0,0,0,0,0.5,41,0,0,92.5,0,NA,NA,NA,NA,NA,NA,"4SD","ESSFxc 2 /101"
"3890","K02-219",1,20.5,0,0,0,0,0.5,35.5,0,0,75,0,NA,NA,NA,NA,NA,NA,"4SD","ESSFxc 2 /101"
"3891","K02-246",0,26,20.5,0,0,0,0,31,0,0,168,0,"ESSFmh","ESSFmh","ESSF","4",NA,NA,"6M","ESSFwc 1 /101"
"3892","K02-256",0,21.5,21.5,0,0,0,0,10,0,1,111,0,"ESSFvc","ESSFvc","ESSF","4",5.5,6,"6M","ESSFvc   /01"
"3893","K02-306",3.5,2,1.5,0,0,0,0,13,0,0,86,0,"ESSFwc4","ESSFwc 4","ESSF","4",5.5,6,"4SD","ESSFwc 4 /101"
"3894","K02-319",24.1,7,0,0,0,0,0,6.1,0,0,35.5,0,"ESSFvcw","ESSFvcw","ESSF","3",NA,NA,"4SD","ESSF vcw  /01"
"3895","K02-385",19.5,58.5,9.5,0,0,0,0,10,0,0,41.5,0,"ESSFvcw","ESSFvcw","ESSF","4",NA,NA,"5F","ESSF vcw  /01"
"3896","K02-388",9.5,51,3,0,0,0,0,8,0,0,79,0,"ESSFvcw","ESSFvcw","ESSF","4",NA,NA,"5F","ESSF vcw  /01"
"3897","K02-400",0,5.5,31,0,0,0,0,8,0,0,121,0,NA,NA,NA,NA,NA,NA,"6M","ICH wk 1 /101"
"3898","K02-425",12.5,3.5,1,0,0,0,0,4,0,0,94.5,0,"ESSFvc","ESSFvc","ESSF","4",5.5,6,"4SD","ESSF vcw  /01"
"3899","K02-456",16.5,29.5,0.5,0,0,0,0,5.5,0,0,29.1,0,"ESSFvc","ESSFvc","ESSF","4",5.5,6,"5F","ESSF vcw  /01"
"3900","K02-466",0,56,14.5,0,0,0,0.5,15,0,0,139,0,"ESSFvc","ESSFvc","ESSF","4",5.5,6,"6M","ESSFvc   /01"
"3901","K02-489",2,51,8.5,0,0,0,0,35,0,0,38,0,NA,NA,NA,NA,NA,NA,"5F","ESSF vcw  /01"
"3902","K02-491",5.5,4.5,2,0,0,0,0,30,0,0,71.5,0,"ESSFvcw","ESSFvcw","ESSF","4",NA,NA,"4SD","ESSF vcw  /01"
"3903","K02-495",6,61,2.5,0,0,0,0,0.5,0,8,47,0,"ESSFvcw","ESSFvcw","ESSF","4",NA,NA,"6M","ESSF vcw  /01"
"3904","K02-505",0.5,7,7,0,0,0,0,13,0,0,136.5,0,"ESSFvc","ESSFvc","ESSF","4",5.5,6,"5F","ESSFvc   /01"
"3905","K02-506",1,45.5,27.5,0,0,0,0,10,0,2,68.5,0,"ESSFvc","ESSFvc","ESSF","4",5.5,6,"6M","ESSFvc   /01"
"3906","K02-523",0,10.5,112,0,0,0,1,0.1,0,0.5,88,0,NA,NA,NA,NA,NA,NA,"6M","ICH vk 1 /01"
"3907","K02-536",18,63.5,4,0.5,0,0,0,3.5,0,0,79,0,NA,NA,NA,NA,NA,NA,"5F","ESSFwcw  /101"
"3908","K02-541",0,9.5,21,0,0,0,0,10.5,0,0,170.5,0,"ICHwk1","ICH wk 1","ICH ","3",5,5,"6M","ICH wk 1 /101"
"3909","K02-561",0,0,0,0,3,0,94,0.5,0,0,114,0,"IDFmw1","IDF mw 1","IDF ","4",3.5,4,"3MD","IDF mw 1 /101"
"3910","K02-566",0,1,0.1,0,0,0,0,16.6,0,0,100.5,0,NA,NA,NA,NA,NA,NA,"4SD","MS  dm 1 /101"
"3911","K02-567",0.5,44,0.5,0,0,0,0,25,0,0,133,0,"ESSFdc1","ESSFdc 1","ESSF","4",5,5,"4SD","ESSFdc 1 /101"
"3912","K02-590",0.5,39,21,0,0,0,0,20,0,0.5,84,0,"ESSFvc","ESSFvc","ESSF","4",5.5,6,"6M","ESSFvc   /01"
"3913","K02-592",0.5,7.5,118.1,0,0,0,0,1,0,5,99.2,0,"ICHvk1","ICH vk 1","ICH ","6",8,7,"6M","ICH vk 1 /01"
"3914","K02-604",10.5,5.5,0,0,0.5,0,1,37.5,0,0,98.5,0,"ESSFwcw","ESSFwcw","ESSF","4",NA,NA,"4SD","ESSFwcw  /101"
