"52","AGROGIG",NA,1,NA,1,6,10,10,6,3,1,5,9,3,NA,2,9,24
"53","AGROIDA",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA
"54","AGROMER",NA,NA,NA,2,NA,2,1,NA,NA,1,2,NA,NA,NA,NA,NA,1
"55","AGROORE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"56","AGROPAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"57","AGROPYR",1,3,5,15,10,5,5,10,7,7,4,3,6,2,NA,5,20
"58","AGROSCA",2,3,13,15,15,26,25,19,14,15,19,6,31,7,9,94,124
"59","AGROSTI",NA,2,9,9,14,10,13,15,14,9,10,5,23,2,13,24,107
"60","AGROSTO",NA,NA,NA,1,2,1,8,2,NA,1,1,NA,2,NA,NA,6,6
"61","AGROVAR",NA,NA,NA,NA,2,1,1,1,1,NA,NA,1,NA,2,3,11,38
"62","AHTISPH",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"63","AIRACAR",NA,NA,3,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","AIRAPRA",NA,NA,4,8,3,2,6,1,NA,NA,NA,NA,1,NA,NA,NA,2
"65","ALECOCH",NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,139
"66","ALECSAR",NA,NA,NA,NA,1,NA,2,NA,2,1,NA,NA,NA,NA,NA,2,1
"67","ALECTOR",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,14
"68","ALISTRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3
"69","ALLAALP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"70","ALLIACU",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ALLICER",52,27,98,203,156,124,93,48,23,2,6,4,1,NA,NA,NA,400
"72","ALLICRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"73","ALLISCH",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9
"74","ALLIUM",NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"75","ALLOTRO",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"76","ALLOVIR",NA,NA,NA,1,NA,3,4,1,1,NA,NA,2,NA,NA,NA,1,4
"77","ALNUINC",NA,NA,NA,4,6,33,80,148,156,124,164,149,310,109,64,280,285
"78","ALNURUB",NA,NA,1,8,21,8,62,55,58,131,34,106,247,12,35,84,107
"79","ALNUS",NA,NA,NA,NA,NA,2,15,14,17,8,14,8,23,6,4,16,27
"80","ALNUVIR",NA,2,2,24,79,228,496,802,792,485,515,298,619,121,88,167,1029
"81","ALOPAEQ",NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,NA,3,1,3,7,10
"82","ALOPCAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"83","ALOPECU",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
